,shy,tip,vti,ive,iwn,iws,efa,eem
2006-07-27,0.2132700970904467,0.22077277658676178,0.12491661662625614,0.13283924905808978,0.04430879073039919,0.04216677673355993,0.15036654078186035,0.07135915239262618
2006-07-28,0.21153524560275858,0.2193707492373108,0.12482493029453967,0.13311430937279714,0.04483216607396894,0.04221007474660444,0.15192958763063932,0.07218293704138119
2006-07-31,0.21191559628348935,0.21964943297443804,0.12503156337530358,0.13311651228634241,0.04484313206105675,0.04215877104184937,0.15165642214723146,0.07162856983028901
2006-08-01,0.21283538189081536,0.22084456160111376,0.12486740954159481,0.1329831433889434,0.044405474405565366,0.042196014449777414,0.1511469407106014,0.07072107401158849
2006-08-02,0.2116630867133262,0.220134013327458,0.1249468785552867,0.13309996982442146,0.044637925311692986,0.042271508228659195,0.15196835214289273,0.07127826589626272
2006-08-03,0.211491508949235,0.21987454077884744,0.12513397477009416,0.1333374420236823,0.044979648858650446,0.04240809563478963,0.1516188556603616,0.07115593332433935
2006-08-04,0.21134280053938378,0.22098717575726146,0.12487648608346083,0.13306759897493634,0.04467932183028636,0.04239094503049611,0.15147142444824685,0.07118424733592824
2006-08-07,0.21195885167735348,0.221512101147983,0.12477602210291217,0.13298188783188264,0.044677528658078974,0.0422384335042538,0.15093229268458294,0.07092288239295307
2006-08-08,0.21252316948585034,0.22231365731151798,0.12447164873630542,0.13267080036238102,0.04405378168034326,0.042172502452446345,0.15072314883810653,0.07107129113304915
2006-08-09,0.21279226356450331,0.22261650217193704,0.1239598969266764,0.13181782219227936,0.04380844696014819,0.041971169264197104,0.1516178690505305,0.07141602986972803
2006-08-10,0.2123101446243209,0.22177789476270865,0.1241710669129844,0.13201751696727118,0.0440174190133788,0.04209121514937837,0.15162702642615553,0.07198771614380221
2006-08-11,0.21301151876479718,0.22219513594011783,0.12431955158037004,0.13210376150242237,0.043910530173715254,0.04206221315329879,0.15097664981568842,0.07142063906959008
2006-08-14,0.21271633610767615,0.2214737675816441,0.12442694526404934,0.13226138773736912,0.04408685702978812,0.0420770862391497,0.15133021495068633,0.0716274050896372
2006-08-15,0.21070750708575978,0.21982454061530896,0.12464636716853417,0.13255730559368703,0.04452860086752112,0.04223241598394267,0.15292019867593595,0.07258306400931036
2006-08-16,0.20981425109715954,0.21896754647698277,0.12512809021535592,0.1327359804070979,0.04476269737145863,0.04229194460766522,0.15342314847387029,0.0728763413504097
2006-08-17,0.20981823780594583,0.2187250956991755,0.12543806909788383,0.13295098263944702,0.0448738692203487,0.04233134402913328,0.15287587257191948,0.07298652893614638
2006-08-18,0.20951086120583176,0.21908778155723754,0.12571286406708146,0.13310778054298483,0.04488592483035,0.04229472740613294,0.15323940437500233,0.07216065601537913
2006-08-21,0.20990888327043525,0.21993460218300362,0.12539004807721246,0.13311301697975483,0.044613183185205005,0.04219902600028594,0.1529535143881132,0.07188772591598963
2006-08-22,0.20992783423323952,0.22031873666636376,0.12546372096828812,0.13288579007799697,0.044685897226453844,0.04228485013501335,0.15255337202781066,0.07187979866483364
2006-08-23,0.21073066775471092,0.22085823847833258,0.1253572049362435,0.13300259783366516,0.044404013971283005,0.04217995753702484,0.15261179407632572,0.07085552541241433
2006-08-24,0.21102115317335998,0.22064686821629162,0.12543646845402154,0.13321851852564592,0.04438432559307042,0.042279645685710854,0.15229783909248457,0.07071518125941507
2006-08-25,0.2109546306927838,0.22101656504275108,0.12540616648680844,0.13303079847468477,0.04433689010032552,0.042287065439404255,0.15209733480039364,0.07087054896284838
